team,group_stage_pct,group_stage_ci_low,group_stage_ci_high,round_of_32_pct,round_of_32_ci_low,round_of_32_ci_high,round_of_16_pct,round_of_16_ci_low,round_of_16_ci_high,quarterfinals_pct,quarterfinals_ci_low,quarterfinals_ci_high,semifinals_pct,semifinals_ci_low,semifinals_ci_high,final_pct,final_ci_low,final_ci_high,champion_pct,champion_ci_low,champion_ci_high
Portugal,100.0,99.96,100.0,89.66,89.05,90.25,52.0,51.02,52.98,25.94,25.08,26.81,13.12,12.46,13.8,6.32,5.85,6.81,2.67,2.36,3.01
Croatia,100.0,99.96,100.0,92.49,91.96,93.0,54.45,53.47,55.43,25.53,24.68,26.4,13.51,12.85,14.2,6.25,5.78,6.74,2.45,2.16,2.77
Morocco,100.0,99.96,100.0,91.21,90.64,91.76,47.02,46.04,48.0,25.89,25.03,26.76,12.43,11.79,13.09,5.54,5.1,6.01,2.11,1.84,2.41
Switzerland,100.0,99.96,100.0,95.63,95.21,96.02,61.3,60.34,62.26,29.55,28.66,30.46,11.98,11.35,12.63,4.91,4.49,5.35,1.78,1.53,2.06
Turkey,100.0,99.96,100.0,78.24,77.42,79.05,50.3,49.32,51.28,26.85,25.98,27.73,11.04,10.43,11.67,4.98,4.56,5.42,1.73,1.48,2.01
Norway,100.0,99.96,100.0,82.98,82.23,83.71,46.37,45.39,47.35,23.87,23.04,24.72,11.35,10.73,11.99,4.56,4.16,4.99,1.54,1.31,1.8
Uruguay,100.0,99.96,100.0,90.48,89.89,91.05,35.99,35.05,36.94,18.63,17.87,19.41,8.92,8.37,9.5,3.79,3.42,4.18,1.24,1.03,1.48
Mexico,100.0,99.96,100.0,96.29,95.9,96.65,61.51,60.55,62.47,28.35,27.47,29.24,11.25,10.64,11.89,3.97,3.6,4.37,1.23,1.02,1.47
Canada,100.0,99.96,100.0,97.18,96.84,97.5,61.94,60.98,62.89,30.09,29.19,31.0,10.11,9.53,10.72,3.77,3.41,4.16,1.15,0.95,1.38
United States,100.0,99.96,100.0,74.65,73.79,75.5,44.47,43.49,45.45,20.96,20.17,21.77,7.8,7.28,8.34,2.96,2.64,3.31,1.04,0.85,1.26
Belgium,100.0,99.96,100.0,88.19,87.54,88.82,47.71,46.73,48.69,20.67,19.88,21.48,6.42,5.95,6.92,2.37,2.08,2.69,0.73,0.57,0.92
Paraguay,100.0,99.96,100.0,62.13,61.17,63.08,32.3,31.38,33.23,13.24,12.58,13.92,4.54,4.14,4.97,1.59,1.35,1.85,0.47,0.35,0.62
Australia,100.0,99.96,100.0,60.62,59.65,61.58,31.25,30.34,32.17,12.7,12.05,13.37,4.05,3.67,4.45,1.66,1.42,1.93,0.46,0.34,0.61
South Korea,100.0,99.96,100.0,81.79,81.02,82.54,39.93,38.97,40.9,13.88,13.21,14.57,4.51,4.11,4.94,1.31,1.1,1.55,0.4,0.29,0.54
Iran,100.0,99.96,100.0,79.27,78.46,80.06,35.63,34.69,36.58,13.25,12.59,13.93,3.66,3.3,4.05,1.33,1.11,1.57,0.29,0.19,0.42
Senegal,100.0,99.96,100.0,63.21,62.26,64.16,26.46,25.6,27.34,10.96,10.35,11.59,3.5,3.15,3.88,0.95,0.77,1.16,0.27,0.18,0.39
Austria,100.0,99.96,100.0,67.2,66.27,68.12,19.96,19.18,20.76,8.53,7.99,9.09,2.85,2.53,3.2,0.8,0.63,0.99,0.23,0.15,0.34
Uzbekistan,100.0,99.96,100.0,58.24,57.27,59.21,20.1,19.32,20.9,6.72,6.24,7.23,2.23,1.95,2.54,0.77,0.61,0.96,0.22,0.14,0.33
Scotland,100.0,99.96,100.0,64.11,63.16,65.05,20.49,19.7,21.29,7.4,6.89,7.93,2.31,2.02,2.62,0.57,0.43,0.74,0.18,0.11,0.28
Algeria,100.0,99.96,100.0,58.24,57.27,59.21,16.3,15.58,17.04,6.29,5.82,6.78,1.98,1.72,2.27,0.5,0.37,0.66,0.12,0.06,0.21
Czech Republic,100.0,99.96,100.0,65.24,64.3,66.17,23.59,22.76,24.43,6.37,5.9,6.87,1.57,1.34,1.83,0.29,0.19,0.42,0.06,0.02,0.13
Panama,100.0,99.96,100.0,52.19,51.21,53.17,16.73,16.0,17.48,4.63,4.23,5.06,1.2,1.0,1.43,0.28,0.19,0.4,0.06,0.02,0.13
Jordan,100.0,99.96,100.0,39.93,38.97,40.9,9.04,8.48,9.62,3.02,2.69,3.37,0.64,0.49,0.82,0.14,0.08,0.23,0.04,0.01,0.1
New Zealand,100.0,99.96,100.0,53.46,52.48,54.44,14.61,13.92,15.32,3.68,3.32,4.07,0.71,0.55,0.89,0.17,0.1,0.27,0.04,0.01,0.1
Sweden,100.0,99.96,100.0,43.15,42.18,44.13,11.34,10.72,11.98,3.5,3.15,3.88,0.93,0.75,1.14,0.2,0.12,0.31,0.04,0.01,0.1
Ivory Coast,100.0,99.96,100.0,58.16,57.19,59.13,17.91,17.16,18.68,5.02,4.6,5.47,1.23,1.02,1.47,0.19,0.11,0.3,0.03,0.01,0.09
Tunisia,100.0,99.96,100.0,39.47,38.51,40.44,10.24,9.65,10.85,3.14,2.81,3.5,0.64,0.49,0.82,0.07,0.03,0.14,0.03,0.01,0.09
Egypt,100.0,99.96,100.0,52.51,51.53,53.49,15.47,14.77,16.19,3.98,3.61,4.38,0.96,0.78,1.17,0.17,0.1,0.27,0.02,0.0,0.07
DR Congo,100.0,99.96,100.0,33.01,32.09,33.94,7.59,7.08,8.13,1.9,1.64,2.19,0.52,0.39,0.68,0.08,0.03,0.16,0.01,0.0,0.06
Qatar,100.0,99.96,100.0,22.15,21.34,22.98,3.39,3.04,3.76,0.52,0.39,0.68,0.01,0.0,0.06,0.0,0.0,0.04,0.0,0.0,0.04
Haiti,100.0,99.96,100.0,18.27,17.52,19.04,2.8,2.49,3.14,0.5,0.37,0.66,0.1,0.05,0.18,0.0,0.0,0.04,0.0,0.0,0.04
South Africa,100.0,99.96,100.0,27.94,27.06,28.83,5.52,5.08,5.99,0.92,0.74,1.13,0.14,0.08,0.23,0.03,0.01,0.09,0.0,0.0,0.04
Bosnia & Herzegovina,100.0,99.96,100.0,46.47,45.49,47.45,9.73,9.16,10.33,1.82,1.57,2.1,0.35,0.24,0.49,0.07,0.03,0.14,0.0,0.0,0.04
Curacao,100.0,99.96,100.0,18.16,17.41,18.93,2.83,2.51,3.17,0.44,0.32,0.59,0.07,0.03,0.14,0.01,0.0,0.06,0.0,0.0,0.04
Saudi Arabia,100.0,99.96,100.0,34.34,33.41,35.28,7.24,6.74,7.77,1.72,1.47,1.99,0.3,0.2,0.43,0.05,0.02,0.12,0.0,0.0,0.04
Cape Verde,100.0,99.96,100.0,26.09,25.23,26.96,4.37,3.98,4.79,0.82,0.65,1.02,0.11,0.05,0.2,0.01,0.0,0.06,0.0,0.0,0.04
Iraq,100.0,99.96,100.0,26.05,25.19,26.92,6.96,6.47,7.48,1.86,1.6,2.14,0.32,0.22,0.45,0.04,0.01,0.1,0.0,0.0,0.04
Ghana,100.0,99.96,100.0,18.51,17.75,19.29,3.1,2.77,3.46,0.61,0.47,0.78,0.07,0.03,0.14,0.03,0.01,0.09,0.0,0.0,0.04
